,City,Lat,Lng,Max Temp ˚F,Humidity,Cloudiness,Wind Speed,Country,Date
0,Abhā,18.2164,42.5053,66.2,59,40,11.5,SA,1618517420
1,Aborlan,9.4352,118.5492,77.56,81,92,3.31,PH,1618517449
2,Acapulco de Juárez,16.8634,-99.8901,86.0,66,40,10.36,MX,1618517229
3,Acaraú,-2.8856,-40.12,81.52,79,92,12.19,BR,1618517347
4,Adrar,20.5022,-10.0711,83.05,18,23,10.63,MR,1618517395
5,Agadez,19.75,10.25,87.17,6,0,10.45,NE,1618517438
6,Ahvāz,31.3203,48.6693,75.2,23,0,9.22,IR,1618517412
7,Airai,-8.9266,125.4092,56.32,78,84,2.28,TL,1618517278
8,Aklavik,68.2191,-135.0107,19.4,73,90,11.5,CA,1618517325
9,Aksay,47.26,39.87,48.99,93,0,4.47,RU,1618517339
10,Albany,42.6001,-73.9662,52.0,83,100,7.43,US,1618516926
11,Alofi,-19.0595,-169.9187,78.8,78,20,3.44,NU,1618517441
12,Alta Floresta,-9.8756,-56.0861,89.6,58,40,3.44,BR,1618517376
13,Altagracia de Orituco,9.8601,-66.3814,83.61,62,98,3.49,VE,1618517350
14,Amapá,1.0,-52.0,73.71,97,100,4.81,BR,1618517296
15,Ambilobe,-13.2,49.05,73.56,95,11,2.26,MG,1618517304
16,Ambon City,-3.6954,128.1814,79.0,92,100,6.85,ID,1618517343
17,Anaconda,46.1285,-112.9423,41.0,42,75,14.97,US,1618517359
18,Anadyr,64.75,177.4833,19.4,73,20,17.9,RU,1618517379
19,Ancud,-41.8697,-73.8203,60.01,67,40,3.44,CL,1618517198
20,Angoche,-16.2325,39.9086,75.63,81,11,7.7,MZ,1618517424
21,Anju,39.6178,125.6647,43.75,66,100,13.82,KP,1618517424
22,Anloga,5.7947,0.8973,84.2,79,20,12.66,GH,1618517433
23,Araouane,18.9048,-3.5265,92.19,9,6,10.09,ML,1618517431
24,Arraial do Cabo,-22.9661,-42.0278,80.6,61,0,10.36,BR,1618517121
25,Arrondissement de Privas,44.5833,4.5,50.0,42,1,3.0,FR,1618517359
26,Arrondissement de Rennes,48.1667,-1.6667,46.4,57,0,11.5,FR,1618517346
27,At-Bashi,41.1702,75.8106,44.94,68,100,3.2,KG,1618517450
28,Atambua,-9.1061,124.8925,69.49,82,100,3.94,ID,1618517320
29,Atar,20.5169,-13.0499,85.75,17,0,9.78,MR,1618517310
30,Ati,13.2154,18.3353,85.01,6,0,11.01,TD,1618517244
31,Atuona,-9.8,-139.0333,81.16,66,35,19.15,PF,1618517159
32,Avarua,-21.2078,-159.775,82.4,74,20,5.75,CK,1618517194
33,Avera,33.194,-82.5271,75.2,57,40,11.5,US,1618517343
34,Awjilah,29.1081,21.2869,76.69,18,99,9.95,LY,1618517377
35,Aykino,62.2248,49.9922,30.2,80,4,4.41,RU,1618517413
36,Azare,11.6765,10.1948,85.98,11,49,8.37,NG,1618517432
37,Balkhash,46.844,74.9804,49.86,45,0,14.18,KZ,1618517417
38,Baloda Bāzār,21.6667,82.1667,81.1,28,80,6.55,IN,1618517368
39,Balsas,-7.5325,-46.0356,81.93,73,100,3.67,BR,1618517348
40,Bamako,12.65,-8.0,95.32,19,75,2.57,ML,1618517431
41,Bambanglipuro,-7.95,110.2833,75.92,87,96,2.3,ID,1618517316
42,Bambous Virieux,-20.3428,57.7575,78.01,94,75,8.05,MU,1618517185
43,Bandarbeyla,9.4942,50.8122,80.8,78,43,8.72,SO,1618517333
44,Banjar,-8.19,114.9675,80.6,89,40,3.44,ID,1618517386
45,Bara,10.3744,10.7288,89.94,25,24,5.86,NG,1618517385
46,Baracoa,20.3467,-74.4958,78.76,58,62,7.72,CU,1618517380
47,Barranca,-10.75,-77.7667,70.61,73,100,10.04,PE,1618517327
48,Barrow,71.2906,-156.7887,10.4,79,40,5.75,US,1618517288
49,Baruun-Urt,46.6806,113.2792,25.16,54,98,13.6,MN,1618517416
50,Batagay-Alyta,67.8006,130.4114,-12.5,94,68,6.04,RU,1618517315
51,Bathsheba,13.2167,-59.5167,84.2,61,40,17.27,BB,1618517349
52,Baykit,61.67,96.37,38.21,98,100,13.69,RU,1618517316
53,Bearsden,55.9154,-4.3328,46.4,66,57,11.5,GB,1618517410
54,Beira,-19.8436,34.8389,75.2,73,20,5.39,MZ,1618517354
55,Beisfjord,68.3751,17.5988,41.0,87,90,9.22,NO,1618517369
56,Beitbridge,-22.2167,30.0,74.39,44,0,7.31,ZW,1618517453
57,Bekwai,6.4534,-1.5774,77.14,76,91,3.58,GH,1618517367
58,Belmonte,-15.8631,-38.8828,78.8,61,40,8.05,BR,1618517120
59,Beloha,-25.1667,45.05,72.05,92,0,5.23,MG,1618517380
60,Benghazi,32.1167,20.0667,63.0,63,97,20.65,LY,1618517423
61,Bengkulu,-3.8004,102.2655,73.72,90,100,5.32,ID,1618517196
62,Benguela,-12.5763,13.4055,82.31,72,32,3.87,AO,1618517113
63,Berea,41.3662,-81.8543,43.0,93,90,6.91,US,1618517217
64,Berezanka,46.8526,31.388,43.65,86,100,11.61,UA,1618517391
65,Berlevåg,70.8578,29.0864,32.0,86,75,8.05,NO,1618517390
66,Beroroha,-21.6667,45.1667,74.19,81,30,2.51,MG,1618517440
67,Bethel,41.3712,-73.414,50.0,96,100,4.0,US,1618517124
68,Bilma,18.6853,12.9164,88.34,6,7,9.57,NE,1618517442
69,Bluff,-46.6,168.3333,50.0,95,78,1.01,NZ,1618517210
70,Bogalusa,30.791,-89.8487,73.4,64,75,6.91,US,1618517173
71,Bolobo,-2.1667,16.2333,75.18,80,100,2.95,CD,1618517435
72,Bourail,-21.5667,165.4833,73.47,92,70,2.68,NC,1618517433
73,Boyle,37.6334,-84.8666,55.99,46,75,5.75,US,1618517450
74,Bredasdorp,-34.5322,20.0403,62.6,72,11,10.36,ZA,1618517195
75,Broken Hill,-31.95,141.4333,51.8,58,100,6.91,AU,1618517314
76,Broome,42.2506,-75.833,43.0,87,90,9.22,US,1618517387
77,Bubaque,11.2833,-15.8333,77.45,73,43,17.52,GW,1618517312
78,Buchanan,5.8808,-10.0467,82.4,83,20,5.64,LR,1618517430
79,Bukachacha,52.9833,116.9167,22.51,52,21,3.78,RU,1618517419
80,Bull Savanna,17.8868,-77.5902,81.72,51,26,9.4,JM,1618517377
81,Buraidah,26.326,43.975,75.2,27,0,4.61,SA,1618517366
82,Burē,10.7,37.0667,66.2,51,93,6.2,ET,1618517406
83,Busselton,-33.65,115.3333,55.99,95,56,8.68,AU,1618517137
84,Butaritari,3.0707,172.7902,82.22,74,100,9.22,KI,1618517138
85,Buşayrā,30.7376,35.6078,64.49,25,100,4.0,JO,1618517452
86,Bāfq,31.6128,55.4107,68.88,37,0,6.35,IR,1618517403
