,City,Lat,Lng,Max Temp ˚F,Humidity,Cloudiness,Wind Speed,Country,Date
0,Abnūb,27.2696,31.1511,93.2,26,0,10.36,EG,2021-04-20 18:28:22
1,Abu Dhabi,24.4667,54.3667,80.6,61,0,4.61,AE,2021-04-20 18:30:58
2,Abéché,13.8292,20.8324,90.01,8,0,7.4,TD,2021-04-20 18:30:49
3,Abū Zabad,12.35,29.25,93.76,9,14,9.64,SD,2021-04-20 18:29:01
4,Ahipara,-35.1667,173.1667,60.21,94,27,4.61,NZ,2021-04-20 18:32:15
5,Airai,-8.9266,125.4092,57.24,93,39,0.63,TL,2021-04-20 18:28:15
6,Ajdabiya,30.7554,20.2263,60.75,60,5,12.24,LY,2021-04-20 18:30:57
7,Aklavik,68.2191,-135.0107,23.0,86,90,11.5,CA,2021-04-20 18:29:22
8,Aksu,41.1231,80.2644,63.27,34,11,5.93,CN,2021-04-20 18:30:43
9,Akureyri,65.6835,-18.0878,39.2,45,40,9.22,IS,2021-04-20 18:28:34
10,Al Bardīyah,31.7561,25.0865,60.15,69,0,11.34,LY,2021-04-20 18:34:26
11,Albania,41.0,20.0,51.8,71,20,4.61,AL,2021-04-20 18:32:02
12,Albany,42.6001,-73.9662,55.0,50,98,3.0,US,2021-04-20 18:28:30
13,Alice Springs,-23.7,133.8833,48.2,57,0,5.75,AU,2021-04-20 18:33:59
14,Almaznyy,48.0448,40.045,50.0,93,40,8.95,RU,2021-04-20 18:34:51
15,Alofi,-19.0595,-169.9187,80.67,78,27,13.85,NU,2021-04-20 18:28:18
16,Amahai,-3.3333,128.9167,78.31,86,100,2.19,ID,2021-04-20 18:28:15
17,Amapá,1.0,-52.0,73.49,93,100,2.3,BR,2021-04-20 18:30:33
18,Amazar,53.858,120.875,28.42,69,11,4.43,RU,2021-04-20 18:34:56
19,Ambanja,-13.6833,48.45,76.71,88,92,2.64,MG,2021-04-20 18:29:32
20,Ambilobe,-13.2,49.05,76.57,82,94,2.93,MG,2021-04-20 18:29:24
21,Anadyr,64.75,177.4833,14.0,85,40,4.47,RU,2021-04-20 18:28:41
22,Ancud,-41.8697,-73.8203,52.0,93,90,5.75,CL,2021-04-20 18:33:43
23,Angoche,-16.2325,39.9086,74.98,80,61,9.13,MZ,2021-04-20 18:32:18
24,Aragarças,-15.8975,-52.2508,87.8,51,40,2.3,BR,2021-04-20 18:30:31
25,Arman',59.7,150.1667,35.15,83,100,16.93,RU,2021-04-20 18:29:14
26,Arraial do Cabo,-22.9661,-42.0278,78.8,78,20,27.63,BR,2021-04-20 18:32:10
27,Arrondissement de Vire,48.9167,-0.8333,53.6,62,0,5.75,FR,2021-04-20 18:31:39
28,Assiut,27.181,31.1837,91.4,24,0,13.8,EG,2021-04-20 18:31:16
29,Aswān,24.0934,32.907,94.51,13,37,4.52,EG,2021-04-20 18:28:58
30,Asău,46.4333,26.4,46.99,59,99,3.44,RO,2021-04-20 18:30:26
31,Atbasar,51.8,68.3333,30.15,48,0,5.14,KZ,2021-04-20 18:34:15
32,Athabasca,54.7169,-113.2854,48.2,29,44,5.75,CA,2021-04-20 18:30:05
33,Atuona,-9.8,-139.0333,80.6,73,20,19.1,PF,2021-04-20 18:28:24
34,Aurora,39.7294,-104.8319,33.01,50,20,4.61,US,2021-04-20 18:30:06
35,Avarua,-21.2078,-159.775,77.0,78,29,9.22,CK,2021-04-20 18:28:40
36,Avera,33.194,-82.5271,73.4,46,90,10.36,US,2021-04-20 18:32:16
37,Ayan,56.45,138.1667,25.72,75,88,10.45,RU,2021-04-20 18:34:25
38,Aykino,62.2248,49.9922,36.3,66,12,2.48,RU,2021-04-20 18:31:37
39,Baghdad,33.3406,44.4009,82.4,32,0,4.61,IQ,2021-04-20 18:28:16
40,Baie-Saint-Paul,47.4411,-70.4986,48.2,100,100,9.22,CA,2021-04-20 18:23:51
41,Bako,5.7833,36.5667,70.12,54,88,4.18,ET,2021-04-20 18:31:25
42,Balabac,7.9868,117.0645,80.2,81,100,11.95,PH,2021-04-20 18:34:15
43,Balkhash,46.844,74.9804,31.71,51,100,25.97,KZ,2021-04-20 18:30:22
44,Bambanglipuro,-7.95,110.2833,74.48,83,1,3.98,ID,2021-04-20 18:29:07
45,Bambous Virieux,-20.3428,57.7575,78.8,89,75,5.86,MU,2021-04-20 18:29:21
46,Barcelona,41.3888,2.159,59.0,88,75,9.22,ES,2021-04-20 18:28:22
47,Barra de Tecoanapa,16.5167,-98.75,84.63,48,89,9.98,MX,2021-04-20 18:34:25
